,Wavelength (nm),Target Reflectance,foldername
0,339.3,27.1465,bent005ck
1,340.8,26.822,bent005ck
2,342.3,26.178,bent005ck
3,343.7,25.431,bent005ck
4,345.2,24.94,bent005ck
5,346.7,24.538000000000004,bent005ck
6,348.1,24.149,bent005ck
7,349.6,23.864,bent005ck
8,351.1,23.6245,bent005ck
9,352.5,23.4195,bent005ck
10,354.0,23.271,bent005ck
11,355.5,23.209,bent005ck
12,357.0,23.1375,bent005ck
13,358.4,23.111,bent005ck
14,359.9,23.0265,bent005ck
15,361.4,23.086,bent005ck
16,362.8,23.1385,bent005ck
17,364.3,23.172500000000003,bent005ck
18,365.8,23.1775,bent005ck
19,367.2,23.2365,bent005ck
20,368.7,23.284,bent005ck
21,370.1,23.472500000000004,bent005ck
22,371.6,23.585,bent005ck
23,373.1,23.7525,bent005ck
24,374.5,23.834,bent005ck
25,376.0,23.949500000000004,bent005ck
26,377.5,24.0465,bent005ck
27,378.9,24.248,bent005ck
28,380.4,24.4815,bent005ck
29,381.9,24.5725,bent005ck
30,383.3,24.7475,bent005ck
31,384.8,24.875,bent005ck
32,386.2,25.03,bent005ck
33,387.7,25.0845,bent005ck
34,389.2,25.2365,bent005ck
35,390.6,25.302,bent005ck
36,392.1,25.431,bent005ck
37,393.6,25.5185,bent005ck
38,395.0,25.6095,bent005ck
39,396.5,25.7155,bent005ck
40,397.9,25.809000000000005,bent005ck
41,399.4,25.864,bent005ck
42,400.9,25.956,bent005ck
43,402.3,26.047999999999995,bent005ck
44,403.8,26.1405,bent005ck
45,405.2,26.2425,bent005ck
46,406.7,26.323,bent005ck
47,408.1,26.3905,bent005ck
48,409.6,26.4905,bent005ck
49,411.1,26.5605,bent005ck
50,412.5,26.694,bent005ck
51,414.0,26.8025,bent005ck
52,415.4,26.909,bent005ck
53,416.9,27.023000000000003,bent005ck
54,418.3,27.1255,bent005ck
55,419.8,27.2655,bent005ck
56,421.2,27.4195,bent005ck
57,422.7,27.555999999999997,bent005ck
58,424.1,27.716,bent005ck
59,425.6,27.837,bent005ck
60,427.0,27.96,bent005ck
61,428.5,28.0935,bent005ck
62,429.9,28.2245,bent005ck
63,431.4,28.365,bent005ck
64,432.8,28.49900000000001,bent005ck
65,434.3,28.629,bent005ck
66,435.7,28.76,bent005ck
67,437.2,28.887,bent005ck
68,438.6,29.0285,bent005ck
69,440.1,29.1745,bent005ck
70,441.5,29.3205,bent005ck
71,443.0,29.451,bent005ck
72,444.4,29.5745,bent005ck
73,445.8,29.68999999999999,bent005ck
74,447.3,29.806500000000007,bent005ck
75,448.7,29.921000000000003,bent005ck
76,450.2,30.0265,bent005ck
77,451.6,30.117999999999995,bent005ck
78,453.0,30.205,bent005ck
79,454.5,30.2905,bent005ck
80,455.9,30.3765,bent005ck
81,457.4,30.45,bent005ck
82,458.8,30.5225,bent005ck
83,460.2,30.5965,bent005ck
84,461.7,30.6655,bent005ck
85,463.1,30.7305,bent005ck
86,464.5,30.7955,bent005ck
87,466.0,30.878000000000004,bent005ck
88,467.4,30.946999999999992,bent005ck
89,468.9,31.018,bent005ck
90,470.3,31.08300000000001,bent005ck
91,471.7,31.159,bent005ck
92,473.1,31.227500000000003,bent005ck
93,474.6,31.296,bent005ck
94,476.0,31.372000000000003,bent005ck
95,477.4,31.442,bent005ck
96,478.9,31.514500000000005,bent005ck
97,480.3,31.584,bent005ck
98,481.7,31.649500000000007,bent005ck
99,483.1,31.722999999999995,bent005ck
100,484.6,31.790000000000003,bent005ck
101,486.0,31.869,bent005ck
102,487.4,31.944499999999994,bent005ck
103,488.9,32.017,bent005ck
104,490.3,32.084,bent005ck
105,491.7,32.152,bent005ck
106,493.1,32.225,bent005ck
107,494.5,32.2935,bent005ck
108,496.0,32.3685,bent005ck
109,497.4,32.449,bent005ck
110,498.8,32.523500000000006,bent005ck
111,500.2,32.595,bent005ck
112,501.6,32.666,bent005ck
113,503.1,32.73900000000001,bent005ck
114,504.5,32.80949999999999,bent005ck
115,505.9,32.885000000000005,bent005ck
116,507.3,32.9575,bent005ck
117,508.7,33.034,bent005ck
118,510.1,33.1015,bent005ck
119,511.6,33.174,bent005ck
120,513.0,33.24900000000001,bent005ck
121,514.4,33.327,bent005ck
122,515.8,33.40050000000001,bent005ck
123,517.2,33.47499999999999,bent005ck
124,518.6,33.5465,bent005ck
125,520.0,33.621,bent005ck
126,521.5,33.69199999999999,bent005ck
127,522.9,33.763,bent005ck
128,524.3,33.840999999999994,bent005ck
129,525.7,33.908,bent005ck
130,527.1,33.950500000000005,bent005ck
131,528.5,33.988,bent005ck
132,529.9,34.041999999999994,bent005ck
133,531.3,34.1135,bent005ck
134,532.7,34.208000000000006,bent005ck
135,534.1,34.298,bent005ck
136,535.5,34.3875,bent005ck
137,536.9,34.4635,bent005ck
138,538.3,34.5355,bent005ck
139,539.7,34.59499999999999,bent005ck
140,541.1,34.6735,bent005ck
141,542.5,34.733000000000004,bent005ck
142,544.0,34.7935,bent005ck
143,545.3,34.88,bent005ck
144,546.8,35.00200000000001,bent005ck
145,548.2,35.0955,bent005ck
146,549.5,35.157500000000006,bent005ck
147,550.9,35.233000000000004,bent005ck
148,552.3,35.2915,bent005ck
149,553.7,35.281,bent005ck
150,555.1,35.25600000000001,bent005ck
