Wavelength (nm),Target Reflectance,foldername,reflectance_norm
339.3,27.1465,bent005ck,0.022806976576847486
340.8,26.822,bent005ck,0.022534349759423988
342.3,26.178,bent005ck,0.021993296845954857
343.7,25.431,bent005ck,0.021365709072101686
345.2,24.94,bent005ck,0.020953198232795255
346.7,24.538000000000004,bent005ck,0.020615460234014834
348.1,24.149,bent005ck,0.020288644110816864
349.6,23.864,bent005ck,0.020049202992278504
351.1,23.6245,bent005ck,0.019847988438278726
352.5,23.4195,bent005ck,0.019675758861786224
354.0,23.271,bent005ck,0.019550997436863605
355.5,23.209,bent005ck,0.01949890849177807
357.0,23.1375,bent005ck,0.019438838176074585
358.4,23.111,bent005ck,0.019416574352771897
359.9,23.0265,bent005ck,0.01934558216148596
361.4,23.086,bent005ck,0.019395570745882565
362.8,23.1385,bent005ck,0.019439678320350158
364.3,23.172500000000003,bent005ck,0.019468243225719647
365.8,23.1775,bent005ck,0.01947244394709751
367.2,23.2365,bent005ck,0.01952201245935633
368.7,23.284,bent005ck,0.019561919312446056
370.1,23.472500000000004,bent005ck,0.019720286508391607
371.6,23.585,bent005ck,0.019814802739393587
373.1,23.7525,bent005ck,0.019955526905552096
374.5,23.834,bent005ck,0.02002399866401131
376.0,23.949500000000004,bent005ck,0.020121035327840014
377.5,24.0465,bent005ck,0.020202529322570613
378.9,24.248,bent005ck,0.020371818394098608
380.4,24.4815,bent005ck,0.020567992082444947
381.9,24.5725,bent005ck,0.02064444521152211
383.3,24.7475,bent005ck,0.020791470459747413
384.8,24.875,bent005ck,0.020898588854882997
386.2,25.03,bent005ck,0.02102881121759684
387.7,25.0845,bent005ck,0.021074599080615576
389.2,25.2365,bent005ck,0.021202301010502703
390.6,25.302,bent005ck,0.021257330460552747
392.1,25.431,bent005ck,0.021365709072101686
393.6,25.5185,bent005ck,0.02143922169621434
395.0,25.6095,bent005ck,0.0215156748252915
396.5,25.7155,bent005ck,0.021604730118502256
397.9,25.809000000000005,bent005ck,0.021683283608268353
399.4,25.864,bent005ck,0.021729491543424878
400.9,25.956,bent005ck,0.02180678481677761
402.3,26.047999999999995,bent005ck,0.02188407809013034
403.8,26.1405,bent005ck,0.02196179143562086
405.2,26.2425,bent005ck,0.022047486151729325
406.7,26.323,bent005ck,0.02211511776591297
408.1,26.3905,bent005ck,0.022171827504514158
409.6,26.4905,bent005ck,0.022255841932071477
411.1,26.5605,bent005ck,0.0223146520313616
412.5,26.694,bent005ck,0.02242681129215062
414.0,26.8025,bent005ck,0.02251796694605031
415.4,26.909,bent005ck,0.022607442311398853
416.9,27.023000000000003,bent005ck,0.0227032187588142
418.3,27.1255,bent005ck,0.022789333547060447
419.8,27.2655,bent005ck,0.022906953745640696
421.2,27.4195,bent005ck,0.023036335964078967
422.7,27.556,bent005ck,0.023151015657694708
424.1,27.716,bent005ck,0.023285438741786416
425.6,27.837,bent005ck,0.02338709619913077
427.0,27.96,bent005ck,0.023490433945026274
428.5,28.0935,bent005ck,0.023602593205815293
429.9,28.2245,bent005ck,0.02371265210591538
431.4,28.365,bent005ck,0.023830692376633412
432.8,28.49900000000001,bent005ck,0.02394327170956023
434.3,28.629,bent005ck,0.024052490465384737
435.7,28.76,bent005ck,0.024162549365484825
437.2,28.887,bent005ck,0.024269247688482615
438.6,29.0285,bent005ck,0.024388128103476223
440.1,29.1745,bent005ck,0.024510789167709907
441.5,29.3205,bent005ck,0.02463345023194359
443.0,29.451,bent005ck,0.024743089059905896
444.4,29.5745,bent005ck,0.024846846877939182
445.8,29.68999999999999,bent005ck,0.024943883541767877
447.3,29.806500000000007,bent005ck,0.025041760349872166
448.7,29.921000000000003,bent005ck,0.02513795686942529
450.2,30.0265,bent005ck,0.02522659209049826
451.6,30.117999999999995,bent005ck,0.025303465291713203
453.0,30.205,bent005ck,0.025376557843688075
454.5,30.2905,bent005ck,0.025448390179249585
455.9,30.3765,bent005ck,0.025520642586948878
457.4,30.45,bent005ck,0.025582393191203506
458.8,30.5225,bent005ck,0.025643303651182562
460.2,30.5965,bent005ck,0.025705474327574977
461.7,30.6655,bent005ck,0.025763444282589528
463.1,30.7305,bent005ck,0.025818053660501782
464.5,30.7955,bent005ck,0.025872663038414043
466.0,30.878000000000004,bent005ck,0.025941974941148832
467.4,30.946999999999992,bent005ck,0.025999944896163373
468.9,31.018,bent005ck,0.026059595139729077
470.3,31.08300000000001,bent005ck,0.02611420451764134
471.7,31.159,bent005ck,0.026178055482584894
473.1,31.227500000000003,bent005ck,0.02623560536546166
474.6,31.296,bent005ck,0.02629315524833842
476.0,31.372000000000003,bent005ck,0.026357006213281985
477.4,31.442,bent005ck,0.026415816312572105
478.9,31.514500000000005,bent005ck,0.026476726772551168
480.3,31.584,bent005ck,0.0265351167997035
481.7,31.649500000000007,bent005ck,0.02659014624975355
483.1,31.722999999999995,bent005ck,0.026651896854008168
484.6,31.790000000000003,bent005ck,0.026708186520471577
486.0,31.869,bent005ck,0.026774557918241855
487.4,31.944499999999994,bent005ck,0.02683798881104763
488.9,32.017,bent005ck,0.02689889927102669
490.3,32.084,bent005ck,0.026955188937490094
491.7,32.152,bent005ck,0.02701231874822907
493.1,32.225,bent005ck,0.02707364928034591
494.5,32.2935,bent005ck,0.027131199163222677
496.0,32.3685,bent005ck,0.02719420998389066
497.4,32.449,bent005ck,0.027261841598074304
498.8,32.523500000000006,bent005ck,0.02732443234660451
500.2,32.595,bent005ck,0.027384502662307988
501.6,32.666,bent005ck,0.027444152905873685
503.1,32.73900000000001,bent005ck,0.027505483437990537
504.5,32.80949999999999,bent005ck,0.02756471360941843
505.9,32.885000000000005,bent005ck,0.027628144502224217
507.3,32.9575,bent005ck,0.027689054962203273
508.7,33.034,bent005ck,0.027753325999284616
